"n","n_mod_13","n_mod_64","S_n_cyclic","T_n_2_s","T_bits","T_bits_2_T_n","n__6_bits","real_n","n_x","n_y","n_z","f_n","real_f_n","p_n","real_p_n","log(p_n)","a","b","c","test_prime","p_mod_78","state","p_n"
248,1,56,8,9,"1001","9","11111000",0.991967871485944,11111000.9919679,8.92779932431863E-08,8.92779932431863E-08,3.01612807933873E+051,1,1609,0.983970406905055,3.20655604409903,0,5.27829043768274E-49,0,1609,49,"success",1609
249,2,57,3,1,"1","1","11111001",0.992,11111001.992,8.92808768024924E-08,8.92808768024924E-08,4.880197746793E+051,1,1613,0.984009840098401,3.20763436738896,1,2.76013405580783E-49,1,1613,53,"success",1613
250,3,58,11,8,"1000","8","11111010",0.99203187250996,11111010.9920319,8.92836730358186E-08,8.92836730358186E-08,7.89632582613173E+051,1,1619,0.98406862745098,3.20924684875337,0,2.02625883889572E-49,0,1619,59,"success",1619
251,4,59,6,2,"10","2","11111011",0.992063492063492,11111011.9920635,8.92865107851666E-08,8.92865107851666E-08,1.27765235729247E+052,1,1621,0.984088127294982,3.20978301484851,1,1.05584276685305E-49,1,1621,61,"success",1621
252,5,60,1,4,"100","4","11111100",0.992094861660079,11111100.9920949,8.92886188655758E-08,8.92886188655758E-08,2.06728493990565E+052,1,1627,0.984146341463415,3.21138755293686,0,7.84603984042002E-50,0,1627,67,"success",1627
253,6,61,9,15,"1111","F","11111101",0.992125984251969,11111101.992126,8.92914118649123E-08,8.92914118649123E-08,3.34493729719812E+052,1,1637,0.984242424242424,3.21404867941194,1,4.02698131629646E-50,1,1637,77,"success",1637
254,7,62,4,3,"11","3","11111110",0.992156862745098,11111110.9921569,8.92941186030312E-08,8.92941186030312E-08,5.41222223710376E+052,1,1657,0.984431137724551,3.21932250841934,0,3.04865529853586E-50,0,1657,19,"success",1657
255,8,63,12,4,"100","4","11111111",0.9921875,11111111.9921875,8.92968679190374E-08,8.92968679190374E-08,8.75715953430188E+052,1,1663,0.984486873508353,3.22089224921952,1,1.57471151986948E-50,1,1663,25,"success",1663
256,9,0,7,14,"1110","E","100000000",0.992217898832685,100000000.992218,9.92217888987721E-09,9.92217888987721E-09,1.41693817714056E+053,1,1667,0.98452380952381,3.22193559982801,0,1.16165971568477E-50,0,1667,29,"success",1667
257,10,1,2,8,"1000","8","100000001",0.992248062015504,100000001.992248,9.92248042247461E-09,9.92248042247461E-09,2.29265413057075E+053,1,1669,0.984542211652794,3.22245633667925,1,6.05848035025768E-51,1,1669,31,"success",1669
258,11,2,10,1,"1","1","100000010",0.992277992277992,100000010.992278,9.92277883204049E-09,9.92277883204049E-09,3.70959230771132E+053,1,1693,0.984759671746776,3.22865695810893,0,4.53419098509435E-51,0,1693,55,"success",1693
259,12,3,5,9,"1001","9","100000011",0.992307692307692,100000011.992308,9.92307573307115E-09,9.92307573307115E-09,6.00224643828207E+053,1,1697,0.984795321637427,3.22968184231768,1,-4.54829708855034E-52,1,13,59,"next",1697
